¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(∑›),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),µ•Œªæª÷µ(‘™),¿€º∆æª÷µ(‘™),
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-21,0.908,0.908,0.91,0.903,0.91,61300,55514.3,0.002,0.2203,0.9056,0.9531,1.016,1.016,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-25,0.91,0.903,0.91,0.902,0.902,96706,87359.8,-0.008,-0.8791,0.9034,1.5037,1.017,1.017,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-26,0.902,0.9,0.907,0.888,0.907,280562,252527.9,0.005,0.5543,0.9001,4.3665,1.017,1.017,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-27,0.907,0.894,0.912,0.894,0.912,700,634.9,0.005,0.5513,0.907,0.0109,1.017,1.017,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-28,0.912,0.903,0.903,0.902,0.903,42400,38259.7,-0.009,-0.9868,0.9024,0.6599,1.017,1.017,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-29,0.903,0.889,0.909,0.889,0.909,106158,95887.1,0.006,0.6645,0.9032,1.6522,1.017,1.017,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-02,0.909,0.901,0.92,0.901,0.918,52400,47778.8,0.009,0.9901,0.9118,0.8183,1.018,1.018,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-03,0.918,0.904,0.904,0.904,0.904,16800,15187.2,-0.014,-1.5251,0.904,0.2627,1.018,1.018,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-04,0.904,0.9,0.903,0.9,0.903,1600,1442.4,-0.001,-0.1106,0.9015,0.025,1.018,1.018,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-05,0.903,0.903,0.903,0.903,0.903,--,--,0,0,--,--,1.018,1.018,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-06,0.903,0.89,0.91,0.89,0.91,47100,42384.3,0.007,0.7752,0.8999,0.7372,1.019,1.019,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-09,0.91,0.901,0.909,0.901,0.903,38401,34754.5,-0.007,-0.7692,0.905,0.6011,1.019,1.019,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-10,0.903,0.901,0.901,0.901,0.901,13001,11713.9,-0.002,-0.2215,0.901,0.2045,1.019,1.019,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-11,0.901,0.901,0.901,0.901,0.901,50000,45050,0,0,0.901,0.7904,1.02,1.02,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-12,0.901,0.901,0.905,0.896,0.905,192601,173857.1,0.004,0.444,0.9027,3.0447,1.02,1.02,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-13,0.905,0.905,0.905,0.903,0.903,15003,13561.7,-0.002,-0.221,0.9039,0.2396,1.02,1.02,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-16,0.903,0.896,0.905,0.896,0.905,17564,15884.6,0.002,0.2215,0.9044,0.2863,1.021,1.021,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-17,0.905,0.905,0.905,0.905,0.905,--,--,0,0,--,--,1.021,1.021,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-18,0.905,0.901,0.907,0.901,0.901,60800,54835.6,-0.004,-0.442,0.9019,0.9871,1.021,1.021,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-19,0.901,0.892,0.904,0.892,0.9,61908,55239.5,-0.001,-0.111,0.8923,1.0051,1.021,1.021,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-20,0.9,0.904,0.907,0.904,0.907,84608,76576.2,0.007,0.7778,0.9051,1.3737,1.021,1.021,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-23,0.907,0.918,0.92,0.898,0.898,42408,38486,-0.009,-0.9923,0.9075,0.6885,1.022,1.022,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-24,0.898,0.898,0.899,0.892,0.899,59000,52996,0.001,0.1114,0.8982,0.951,1.022,1.022,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-25,0.899,0.898,0.898,0.882,0.894,35500,31385,-0.005,-0.5562,0.8841,0.5722,1.022,1.022,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-26,0.894,0.877,0.877,0.877,0.877,111745,98000.4,-0.017,-1.9016,0.877,1.8011,1.022,1.022,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-27,0.877,0.883,0.883,0.882,0.882,2200,1941.4,0.005,0.5701,0.8825,0.0355,1.023,1.023,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-30,0.882,0.881,0.881,0.881,0.881,60003,52862.6,-0.001,-0.1134,0.881,0.9852,1.023,1.023,
150073.SZ,≈µ∞≤Œ»Ω°,2012-07-31,0.881,0.881,0.89,0.881,0.883,25602,22564.1,0.002,0.227,0.8813,0.4183,1.023,1.023,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-01,0.883,0.883,0.883,0.883,0.883,--,--,0,0,--,--,1.024,1.024,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-02,0.883,0.883,0.883,0.88,0.88,12500,11012.6,-0.003,-0.3398,0.881,0.2055,1.024,1.024,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-03,0.88,0.886,0.886,0.886,0.886,15361,13609.8,0.006,0.6818,0.886,0.2534,1.024,1.024,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-06,0.886,0.894,0.898,0.894,0.897,84003,75304.4,0.011,1.2415,0.8964,1.3921,1.025,1.025,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-07,0.897,0.89,0.908,0.89,0.908,49605,44683.2,0.011,1.2263,0.9008,0.8271,1.025,1.025,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-08,0.908,0.892,0.901,0.892,0.901,30100,27102.2,-0.007,-0.7709,0.9004,0.5022,1.025,1.025,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-09,0.901,0.907,0.913,0.906,0.912,88266,80410.5,0.011,1.2209,0.911,1.505,1.025,1.025,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-10,0.912,0.913,0.913,0.892,0.897,138238,125719.3,-0.015,-1.6447,0.9094,2.3736,1.025,1.025,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-13,0.897,0.905,0.905,0.905,0.905,15355,13896.3,0.008,0.8919,0.905,0.2691,1.026,1.026,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-14,0.905,0.902,0.911,0.902,0.911,6500,5863.9,0.006,0.663,0.9021,0.1161,1.026,1.026,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-15,0.911,0.906,0.911,0.904,0.904,38000,34384.5,-0.007,-0.7684,0.9049,0.6793,1.026,1.026,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-16,0.904,0.907,0.913,0.901,0.913,79500,71948.8,0.009,0.9956,0.905,1.422,1.026,1.026,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-17,0.913,0.906,0.913,0.906,0.913,30001,27181.6,0,0,0.906,0.5373,1.027,1.027,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-20,0.913,0.909,1.004,0.906,0.923,44828,41480.1,0.01,1.0953,0.9253,0.8058,1.027,1.027,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-21,0.923,0.911,0.922,0.91,0.922,67800,61752.5,-0.001,-0.1083,0.9108,1.2188,1.027,1.027,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-22,0.922,0.911,0.911,0.901,0.911,199300,181182.3,-0.011,-1.1931,0.9091,3.5827,1.028,1.028,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-23,0.911,0.911,0.911,0.911,0.911,--,--,0,0,--,--,1.028,1.028,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-24,0.911,0.911,0.911,0.911,0.911,211395,192580.8,0,0,0.911,3.8309,1.028,1.028,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-27,0.911,0.908,0.913,0.908,0.911,52203,47581.9,0,0,0.9115,0.946,1.028,1.028,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-28,0.911,0.911,0.911,0.911,0.911,10000,9110,0,0,0.911,0.1807,1.029,1.029,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-29,0.911,0.91,0.913,0.91,0.912,19123,17440.9,0.001,0.1098,0.912,0.3457,1.029,1.029,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-30,0.912,0.911,0.911,0.911,0.911,1,0.9,-0.001,-0.1096,0.9,0,1.029,1.029,
150073.SZ,≈µ∞≤Œ»Ω°,2012-08-31,0.911,0.912,0.912,0.911,0.911,26900,24515.9,0,0,0.9114,0.4863,1.029,1.029,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-03,0.911,0.911,0.926,0.911,0.926,135711,124937.8,0.015,1.6465,0.9206,2.4603,1.03,1.03,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-04,0.926,0.926,0.929,0.926,0.929,9200,8531.2,0.003,0.324,0.9273,0.1668,1.03,1.03,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-05,0.929,0.929,0.929,0.929,0.929,--,--,0,0,--,--,1.03,1.03,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-06,0.929,0.925,0.93,0.925,0.93,3328,3094.9,0.001,0.1076,0.93,0.0616,1.03,1.03,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-07,0.93,0.92,0.93,0.92,0.921,128825,118731.8,-0.009,-0.9677,0.9217,2.3833,1.031,1.031,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-10,0.921,0.921,0.921,0.912,0.921,3900,3582,0,0,0.9185,0.0721,1.031,1.031,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-11,0.921,0.921,0.921,0.921,0.921,--,--,0,0,--,--,1.031,1.031,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-12,0.921,0.926,0.926,0.923,0.923,30202,27936.4,0.002,0.2172,0.925,0.5591,1.032,1.032,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-13,0.923,0.93,0.93,0.93,0.93,17401,16182.9,0.007,0.7584,0.93,0.3221,1.032,1.032,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-14,0.93,0.933,0.941,0.933,0.94,31000,28933.7,0.01,1.0753,0.9333,0.5739,1.032,1.032,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-17,0.94,0.94,0.94,0.94,0.94,--,--,0,0,--,--,1.032,1.032,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-18,0.94,0.914,0.926,0.913,0.925,41104,37922.9,-0.015,-1.5957,0.9226,0.763,1.033,1.033,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-19,0.925,0.925,0.925,0.925,0.925,--,--,0,0,--,--,1.033,1.033,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-20,0.925,0.912,0.912,0.912,0.912,400,364.8,-0.013,-1.4054,0.912,0.0075,1.033,1.033,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-21,0.912,0.916,0.916,0.915,0.915,10100,9251.5,0.003,0.3289,0.916,0.1882,1.033,1.033,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-24,0.915,0.929,0.929,0.929,0.929,4700,4366.3,0.014,1.5301,0.929,0.0876,1.034,1.034,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-25,0.929,0.92,0.92,0.92,0.92,4000,3680,-0.009,-0.9688,0.92,0.0745,1.034,1.034,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-26,0.92,0.93,0.942,0.93,0.942,55328,51997,0.022,2.3913,0.9398,1.0309,1.034,1.034,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-27,0.942,0.943,0.944,0.943,0.943,60100,56674.4,0.001,0.1062,0.943,1.1198,1.034,1.034,
150073.SZ,≈µ∞≤Œ»Ω°,2012-09-28,0.943,0.934,0.935,0.934,0.935,2801,2618.9,-0.008,-0.8484,0.935,0.0522,1.035,1.035,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-08,0.935,0.932,0.932,0.932,0.932,3300,3075.6,-0.003,-0.3209,0.932,0.0607,1.037,1.037,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-09,0.932,0.93,0.932,0.93,0.93,14600,13591.4,-0.002,-0.2146,0.9309,0.2684,1.037,1.037,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-10,0.93,0.932,0.939,0.93,0.939,53928,50202.6,0.009,0.9677,0.9309,0.9915,1.037,1.037,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-11,0.939,0.938,0.941,0.935,0.935,41120,38588.4,-0.004,-0.426,0.9384,0.7648,1.037,1.037,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-12,0.935,0.936,0.936,0.936,0.936,12999,12167.1,0.001,0.107,0.936,0.2418,1.037,1.037,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-15,0.936,0.939,0.94,0.939,0.94,23700,22275.8,0.004,0.4274,0.9399,0.4452,1.038,1.038,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-16,0.94,0.933,0.942,0.933,0.942,9700,9100.5,0.002,0.2128,0.9382,0.1822,1.038,1.038,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-17,0.942,0.942,0.942,0.942,0.942,--,--,0,0,--,--,1.038,1.038,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-18,0.942,0.936,0.946,0.936,0.946,16900,15957,0.004,0.4246,0.9442,0.3174,1.038,1.038,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-19,0.946,0.946,0.946,0.937,0.937,35800,33623.6,-0.009,-0.9514,0.9392,0.6724,1.039,1.039,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-22,0.937,0.95,0.954,0.95,0.953,65826,62594.3,0.016,1.7076,0.9509,1.2403,1.039,1.039,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-23,0.953,0.956,0.956,0.956,0.956,1000,956,0.003,0.3148,0.956,0.0189,1.039,1.039,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-24,0.956,0.956,0.956,0.955,0.955,7200,6880.2,-0.001,-0.1046,0.9556,0.136,1.04,1.04,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-25,0.955,0.949,0.952,0.949,0.952,41000,39029,-0.003,-0.3141,0.9519,0.775,1.04,1.04,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-26,0.952,0.966,0.966,0.954,0.954,17601,16901.4,0.002,0.2101,0.9603,0.3327,1.04,1.04,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-29,0.954,0.954,0.954,0.954,0.954,14100,13451.4,0,0,0.954,0.2636,1.041,1.041,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-30,0.954,0.954,0.954,0.954,0.954,--,--,0,0,--,--,1.041,1.041,
150073.SZ,≈µ∞≤Œ»Ω°,2012-10-31,0.954,0.954,0.954,0.954,0.954,31800,30337.2,0,0,0.954,0.599,1.041,1.041,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-01,0.954,0.954,0.972,0.954,0.969,334261,320673.3,0.015,1.5723,0.9594,6.2966,1.041,1.041,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-02,0.969,0.969,0.969,0.969,0.969,--,--,0,0,--,--,1.041,1.041,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-05,0.969,0.963,0.977,0.963,0.975,115350,112140.7,0.006,0.6192,0.9722,2.1729,1.042,1.042,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-06,0.975,0.966,0.985,0.966,0.985,100370,98074.8,0.01,1.0256,0.9771,1.3395,1.042,1.042,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-07,0.985,0.988,0.99,0.982,0.982,125401,123940.8,-0.003,-0.3046,0.9884,1.6735,1.042,1.042,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-08,0.982,0.988,0.989,0.981,0.981,133329,131101.5,-0.001,-0.1018,0.9833,1.7793,1.042,1.042,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-09,0.981,0.979,0.981,0.979,0.981,88200,86474.9,0,0,0.9804,1.177,1.043,1.043,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-12,0.981,0.973,0.983,0.971,0.983,146300,143718.8,0.002,0.2039,0.9824,1.9522,1.043,1.043,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-13,0.983,0.983,0.983,0.98,0.98,70270,69039.7,-0.003,-0.3052,0.9825,0.9377,1.043,1.043,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-14,0.98,0.98,0.985,0.98,0.985,1169232,1145871.7,0.005,0.5102,0.98,15.6019,1.044,1.044,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-15,0.985,0.981,0.989,0.981,0.988,162100,160038.8,0.003,0.3046,0.9873,2.163,1.044,1.044,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-16,0.988,0.987,0.988,0.983,0.983,103907,102445.4,-0.005,-0.5061,0.9859,1.3865,1.044,1.044,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-19,0.983,0.983,0.986,0.983,0.985,123500,121614.8,0.002,0.2035,0.9847,1.6808,1.045,1.045,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-20,0.985,0.988,0.99,0.985,0.988,621809,614755.6,0.003,0.3046,0.9887,6.4959,1.045,1.045,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-21,0.988,0.961,0.984,0.96,0.984,220402,215871.4,-0.004,-0.4049,0.9794,2.3209,1.045,1.045,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-22,0.984,0.984,0.984,0.984,0.984,--,--,0,0,--,--,1.045,1.045,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-23,0.984,0.984,0.984,0.984,0.984,3000,2952,0,0,0.984,0.033,1.045,1.045,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-26,0.984,0.984,0.984,0.984,0.984,--,--,0,0,--,--,1.046,1.046,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-27,0.984,0.985,0.985,0.985,0.985,46700,45999.5,0.001,0.1016,0.985,0.5143,1.046,1.046,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-28,0.985,0.986,0.986,0.982,0.982,126400,124333,-0.003,-0.3046,0.9836,1.3925,1.046,1.046,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-29,0.982,0.988,0.989,0.985,0.988,146600,144641.5,0.006,0.611,0.9866,1.6192,1.047,1.047,
150073.SZ,≈µ∞≤Œ»Ω°,2012-11-30,0.988,0.983,0.993,0.983,0.993,246605,244159.9,0.005,0.5061,0.9901,2.7575,1.047,1.047,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-03,0.993,0.986,0.99,0.986,0.99,32185,31766.3,-0.003,-0.3021,0.987,0.3665,1.047,1.047,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-04,0.99,0.983,0.983,0.983,0.983,351600,345622.8,-0.007,-0.7071,0.983,4.0694,1.047,1.047,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-05,0.983,0.982,0.983,0.975,0.98,682123,668667,-0.003,-0.3052,0.9803,8.024,1.048,1.048,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-06,0.98,0.986,0.988,0.982,0.987,101901,100437.9,0.007,0.7143,0.9856,1.2077,1.048,1.048,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-07,0.987,0.99,0.99,0.99,0.99,30500,30195,0.003,0.304,0.99,0.3709,1.048,1.048,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-10,0.99,0.988,0.993,0.985,0.989,303400,299976.7,-0.001,-0.101,0.9887,3.7372,1.049,1.049,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-11,0.989,0.992,0.992,0.987,0.987,52700,52214.9,-0.002,-0.2022,0.9908,0.6514,1.049,1.049,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-12,0.987,0.987,0.987,0.987,0.987,--,--,0,0,--,--,1.049,1.049,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-13,0.987,0.987,0.988,0.987,0.988,110000,108679,0.001,0.1013,0.988,1.3888,1.049,1.049,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-14,0.988,0.981,0.99,0.98,0.989,320600,316301.4,0.001,0.1012,0.9866,4.0518,1.049,1.049,
150073.SZ,≈µ∞≤Œ»Ω°,2012-12-17,0.989,0.966,0.966,0.966,0.966,2400,2318.4,-0.023,-2.3256,0.966,0.0304,1.05,1.05,
